
X1=6.54, Y1=-7.42, Z1=-5.62, A1=1.94, B1=-10.21, C1=-1.18, M1=420.00, N1=37.50, O1=19.50 L2=26.748, I2=27.000,  Status = ON
X1=-2.62, Y1=1.36, Z1=5.42, A1=1.73, B1=-10.05, C1=-1.42, M1=418.50, N1=37.50, O1=16.50 L2=26.803, I2=26.750,  Status = ON
X1=1.81, Y1=-11.85, Z1=5.83, A1=1.77, B1=-9.84, C1=-1.12, M1=406.50, N1=40.50, O1=16.50 L2=26.811, I2=26.750,  Status = ON
X1=18.74, Y1=-53.24, Z1=4.77, A1=0.63, B1=-9.70, C1=-1.03, M1=405.00, N1=42.00, O1=25.50 L2=26.803, I2=26.750,  Status = ON
X1=14.58, Y1=-34.91, Z1=-4.89, A1=0.28, B1=-10.19, C1=-1.11, M1=406.50, N1=48.00, O1=43.50 L2=26.811, I2=27.250,  Status = ON
X1=-0.23, Y1=3.97, Z1=16.67, A1=0.57, B1=-10.03, C1=-1.63, M1=400.50, N1=52.50, O1=54.00 L2=26.709, I2=26.750,  Status = ON
X1=0.01, Y1=21.81, Z1=7.39, A1=0.52, B1=-9.96, C1=-1.65, M1=402.00, N1=55.50, O1=51.00 L2=26.705, I2=26.750,  Status = ON
X1=10.81, Y1=-6.20, Z1=-13.54, A1=0.96, B1=-10.15, C1=-1.39, M1=405.00, N1=57.00, O1=45.00 L2=26.788, I2=26.875,  Status = ON
X1=11.20, Y1=-9.61, Z1=-11.03, A1=0.81, B1=-10.02, C1=-1.31, M1=406.50, N1=51.00, O1=51.00 L2=26.772, I2=26.750,  Status = ON
X1=16.86, Y1=-23.69, Z1=2.05, A1=1.30, B1=-10.37, C1=-0.15, M1=405.00, N1=54.00, O1=55.50 L2=26.772, I2=27.250,  Status = ON
